date,ticker,fund_name,style_category,benchmark_proxy,factor_style_label,return,excess_return,predicted_excess_return,predicted_return,residual,cumulative_actual_return,cumulative_predicted_return,wealth_index,drawdown,mkt_rf,smb,hml,rmw,cma,rf,beta_market,beta_smb,beta_hml,beta_rmw,beta_cma,r_squared,rolling_alpha,rolling_beta_market,rolling_beta_smb,rolling_beta_hml,rolling_beta_rmw,rolling_beta_cma,rolling_r_squared,window_months
2015-02-28,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,0.0594640867959654,0.0594640867959654,0.0633940312133582,0.0633940312133582,-0.0039299444173928,0.0594640867959654,0.0633940312133582,1.0594640867959655,0.0,0.0613999999999999,0.0036,-0.0179,-0.011,-0.0175,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-03-31,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,0.017699661212049,0.017699661212049,0.0129978737072463,0.0129978737072463,0.0047017875048026,0.078216242198587,0.0772158925321089,1.078216242198587,0.0,-0.0109,0.0308,-0.0038,0.0007,-0.0062,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-04-30,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,-0.0256492667680412,-0.0256492667680412,-0.0174611009035995,-0.0174611009035995,-0.0081881658644416,0.0505607861688004,0.0584065171376446,1.0505607861688004,-0.025649266768041246,0.006,-0.0301,0.018,0.0005,-0.0062,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-05-31,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,0.0223636239512887,0.0223636239512887,0.0206811417453916,0.0206811417453916,0.001682482205897,0.0740551325286498,0.0802955723428144,1.0740551325286498,-0.0038592533733792234,0.0138,0.0081999999999999,-0.0111,-0.0176,-0.0083,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-06-30,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,0.0078293917736971,0.0078293917736971,0.0065585978885436,0.0065585978885436,0.0012707938851534,0.0824643309477668,0.087380796602585,1.0824643309477668,0.0,-0.0154,0.0289999999999999,-0.0081999999999999,0.0034999999999999,-0.0154,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-07-31,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,-0.0110392109858962,-0.0110392109858962,-0.0265396488798904,-0.0265396488798904,0.0155004378939942,0.0705147788137274,0.0585220920620168,1.0705147788137275,-0.01103921098589622,0.0157,-0.0458,-0.0416,0.0031,-0.0243999999999999,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-08-31,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,-0.0631102597148888,-0.0631102597148888,-0.057133240400313,-0.057133240400313,-0.0059770193145757,0.0029543130941662,-0.0019547050928047,1.0029543130941663,-0.07345278322841775,-0.0602,0.0029,0.0275,0.0066,0.0129,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-09-30,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,-0.0493629634453202,-0.0493629634453202,-0.0557205194848034,-0.0557205194848034,0.0063575560394832,-0.0465544840004272,-0.0575663073943973,0.9534455159995727,-0.11918989962027648,-0.0306,-0.0279999999999999,0.0055,0.018,-0.0059,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-10-31,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,0.0562269429130513,0.0562269429130513,0.0579626652656036,0.0579626652656036,-0.0017357223525523,0.0070548425983854,-0.002940338734872,1.0070548425983854,-0.0696646403889869,0.0775,-0.0206,-0.0046999999999999,0.0095,0.0060999999999999,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
2015-11-30,IWM,iShares Russell 2000 ETF,Small Cap,Russell 2000,Small-Cap Tilt,0.0325994303384369,0.0325994303384369,0.0346416581521332,0.0346416581521332,-0.0020422278136963,0.039884256786657,0.0315994612079562,1.039884256786657,-0.03933623764196292,0.0056999999999999,0.033,-0.0043,-0.0265,-0.0106,0.0,1.0005675236894855,0.8160657774086512,0.1058148204370458,-0.1153849873052388,-0.034876044740578,0.9900352610186124,,,,,,,,
