date,ticker,rolling_alpha,rolling_beta_market,rolling_beta_smb,rolling_beta_hml,rolling_beta_rmw,rolling_beta_cma,rolling_r_squared,window_months,n_obs
2018-01-31,IWM,-0.00126731117754147,0.9953400880748977,0.8087270667256,0.1303635703165366,0.01280567727073973,-0.19114958356031228,0.9886300822816503,36,36
2018-02-28,IWM,-0.0014548324737779263,1.0153349513616587,0.7993029492858083,0.1232950893090528,-0.001283819118407005,-0.16322764369573117,0.9880474066711209,36,36
2018-03-31,IWM,-0.0012969897204600936,1.0098661985847472,0.8053311130288715,0.11777370590947372,-0.005677333096683619,-0.15672799611808078,0.9874278130553277,36,36
2018-04-30,IWM,-0.001029380995520288,1.0099464239246836,0.784373385244353,0.13903457307322978,-0.016479241577952067,-0.16877954262370726,0.988970988107656,36,36
2018-05-31,IWM,-0.0011341417465341639,1.009890808797896,0.7829395997998909,0.1424036857545278,-0.00928399936922053,-0.16914101969823975,0.9896067970670325,36,36
2018-06-30,IWM,-0.0011856864304145781,1.0105972867106483,0.7807078616767894,0.14496554162214173,-0.011308060133577852,-0.17020283782919202,0.9895845135529958,36,36
2018-07-31,IWM,-0.001555597905919458,1.0056396140484138,0.8063379584127843,0.15752130897700314,0.0034405158943931757,-0.16405518495032087,0.9925043671725269,36,36
2018-08-31,IWM,-0.001139244921740485,0.9933250651280764,0.812483705432511,0.1589772664951123,0.007431121763454646,-0.17401450205470742,0.992104747907658,36,36
2018-09-30,IWM,-0.001256622768318073,0.998470257351779,0.8134875085349342,0.15278145966792708,0.0017240727285284668,-0.16409864594932935,0.9918928328895004,36,36
2018-10-31,IWM,-0.0011510960694950147,0.9994234083643244,0.80676658316693,0.15327224941952675,-0.00045795288193729855,-0.15463700816126597,0.9935763238670667,36,36
2018-11-30,IWM,-0.0010231773838254047,1.0039642518959897,0.8000103367521908,0.1528595568036474,-0.008581248778442768,-0.14704420112410369,0.9929518760013094,36,36
2018-12-31,IWM,-0.0009689019126920724,1.0009418272169508,0.8001280079458448,0.15207011585542812,-0.009629492760949918,-0.14765633265051453,0.9941866810484173,36,36
2019-01-31,IWM,-0.0010177521254405991,1.0078699817725543,0.8028606803560306,0.15143068369320944,-0.01626804621159339,-0.1544417328231953,0.9942510625064939,36,36
2019-02-28,IWM,-0.0008088185784611394,1.0081368910497288,0.8133295304974202,0.14066472084806872,0.007599345803492197,-0.1425020869178923,0.9943122458572893,36,36
2019-03-31,IWM,-0.0008188855863113381,1.0066211780638281,0.8136751146644823,0.14025849450726363,0.006533916959409414,-0.14329070013718598,0.9940578037798161,36,36
2019-04-30,IWM,-0.000749168004985824,1.0067428133396847,0.8111025163778973,0.133126635925449,-0.023097882261541924,-0.1212442623980374,0.9941327682128915,36,36
2019-05-31,IWM,-0.0006615505447346119,0.9975395692933301,0.8185686568248148,0.11534873210205737,-0.002782654183097255,-0.07456076246976948,0.9952485268392657,36,36
2019-06-30,IWM,-0.0006991349776602936,0.9936845869064164,0.819519630433064,0.11757064873155496,-0.0048209188716732965,-0.08039476844979668,0.9953891371188448,36,36
2019-07-31,IWM,-0.000509089605291827,0.9976536505751471,0.8071595111548775,0.12075609561987535,-0.018665361640921432,-0.07284397351266964,0.9945237121160588,36,36
2019-08-31,IWM,-0.0001625275924248045,0.9923051405802844,0.8020933463568931,0.12115329750176615,-0.03753037300748712,-0.08086215967787275,0.9945355148249229,36,36
2019-09-30,IWM,8.957347560303863e-06,0.9902406343537609,0.8029625477600295,0.1167149176254566,-0.0729447844640205,-0.08581644022535986,0.9949616037701899,36,36
2019-10-31,IWM,1.2487742614961106e-05,0.9930779975472259,0.8126548146803306,0.10320304852695261,-0.06326082424796196,-0.07595356882604505,0.994627588134409,36,36
2019-11-30,IWM,-2.4641163020549042e-05,0.9917717498926781,0.8145573720331207,0.10389067547928796,-0.05517573340626858,-0.07539533480389451,0.9938946668350929,36,36
2019-12-31,IWM,-0.00054355090496653,0.9885171881621755,0.8070129284372645,0.08675568435593517,-0.06635212135715976,-0.08064210026289556,0.9930063781790056,36,36
2020-01-31,IWM,-0.00046841302227999815,0.9917811909256935,0.7861566647077494,0.07360291049441747,-0.09996873413291023,-0.08158010839195728,0.9928631279854182,36,36
2020-02-29,IWM,-0.0009019958800642897,1.0123389137506156,0.7829188862666963,0.0623392503337738,-0.08093534697060309,-0.035002879259409814,0.9929087218485213,36,36
2020-03-31,IWM,-0.0007366842314898668,1.0130725881282285,0.7972991907532881,0.08371034464857663,-0.06001610481917111,-0.06430327752099718,0.9953575363646302,36,36
2020-04-30,IWM,-0.0007836680299650733,0.9892097294575137,0.766647036634948,0.1258532922314074,-0.14261585110981112,-0.10705091525999444,0.9948139079902619,36,36
2020-05-31,IWM,-0.0007379469380741268,0.9896344130081846,0.7653910793707033,0.12367402689508689,-0.13617221835996024,-0.11126976336100514,0.9949888253395882,36,36
2020-06-30,IWM,-0.0008573125446399571,0.9896981302549157,0.7633947648792789,0.12191297017484615,-0.1266042452653688,-0.11196695326103856,0.995019525987735,36,36
2020-07-31,IWM,-0.0009154844468921286,0.988733171272028,0.7663378981483054,0.12003414524687606,-0.12051886151555036,-0.1112104708114594,0.9950626496023568,36,36
2020-08-31,IWM,-0.0008767082450643737,0.9877408574927864,0.7622485031262226,0.128549800840294,-0.15765021215556635,-0.11365017123578358,0.9949830790852071,36,36
2020-09-30,IWM,-0.0005659669038803675,0.9855391919125095,0.7695845733939811,0.13186676136925057,-0.17029490876015774,-0.11447917711713917,0.9949092629405742,36,36
2020-10-31,IWM,-0.0005007827822982105,0.9851766282278722,0.7605055155090338,0.13863018386905035,-0.1694475112654737,-0.132870693676031,0.9949810782072197,36,36
2020-11-30,IWM,-0.0006646844246879901,0.9889623678661498,0.7561507115588322,0.13998639735196539,-0.21080334399025435,-0.13102849293337504,0.9960967151802859,36,36
2020-12-31,IWM,-0.000538045603437818,0.9896653944587499,0.7603734028663565,0.13677322695747818,-0.21077395694272705,-0.11886284435962635,0.9962482145922121,36,36
2021-01-31,IWM,-0.00046686363296500125,1.0016257179545054,0.7138731072736695,0.15656491690070984,-0.2407722974506179,-0.17374395975108442,0.9964312255850225,36,36
2021-02-28,IWM,-0.0009006574468066709,1.0023468484061504,0.7194040762329892,0.1287245049160342,-0.22660750639880167,-0.14366924622360666,0.9960561563664768,36,36
2021-03-31,IWM,-0.001201359223002324,1.0145182769144905,0.6914237232282973,0.13613821400659532,-0.25465691170502025,-0.1471205804075442,0.9965363483183036,36,36
2021-04-30,IWM,-0.0011816504085159626,1.014186847743706,0.6951495263087154,0.13512127956071351,-0.27253980238060205,-0.1300168050934827,0.9965088102192842,36,36
2021-05-31,IWM,-0.001402166699760005,1.0171142286632366,0.6939829725664937,0.12854852120923072,-0.2841890888216503,-0.13781342696430243,0.9962590954956874,36,36
2021-06-30,IWM,-0.001468316261161146,1.0164882177392431,0.6908287746963513,0.13415143207851676,-0.2847483836871173,-0.14211146259804963,0.99623604671301,36,36
2021-07-31,IWM,-0.0015007297599646042,1.0156741486427956,0.692989591951353,0.13305733952421983,-0.28269969448543564,-0.1422292222027393,0.9962892137771971,36,36
