,date,ticker,return,mkt_rf,smb,hml,rmw,cma,rf,excess_return
0,2015-02-28,IWM,0.05946408679596549,0.061399999999999996,0.0036,-0.0179,-0.011000000000000001,-0.0175,0.0,0.05946408679596549
1,2015-03-31,IWM,0.017699661212049023,-0.0109,0.0308,-0.0038,0.0007000000000000001,-0.0062,0.0,0.017699661212049023
2,2015-04-30,IWM,-0.025649266768041246,0.006,-0.0301,0.018000000000000002,0.0005,-0.0062,0.0,-0.025649266768041246
3,2015-05-31,IWM,0.02236362395128877,0.0138,0.008199999999999999,-0.0111,-0.0176,-0.0083,0.0,0.02236362395128877
4,2015-06-30,IWM,0.007829391773697125,-0.0154,0.028999999999999998,-0.008199999999999999,0.0034999999999999996,-0.0154,0.0,0.007829391773697125
5,2015-07-31,IWM,-0.01103921098589622,0.015700000000000002,-0.0458,-0.0416,0.0031,-0.024399999999999998,0.0,-0.01103921098589622
6,2015-08-31,IWM,-0.06311025971488882,-0.0602,0.0029,0.0275,0.0066,0.0129,0.0,-0.06311025971488882
7,2015-09-30,IWM,-0.04936296344532021,-0.030600000000000002,-0.027999999999999997,0.0055000000000000005,0.018000000000000002,-0.0059,0.0,-0.04936296344532021
8,2015-10-31,IWM,0.0562269429130513,0.0775,-0.0206,-0.004699999999999999,0.0095,0.0060999999999999995,0.0,0.0562269429130513
9,2015-11-30,IWM,0.03259943033843693,0.005699999999999999,0.033,-0.0043,-0.0265,-0.0106,0.0,0.03259943033843693
10,2015-12-31,IWM,-0.050304024103282385,-0.0215,-0.029500000000000002,-0.025699999999999997,0.0034000000000000002,0.0012,0.0001,-0.05040402410328239
11,2016-01-31,IWM,-0.08577523521802366,-0.0574,-0.0344,0.0208,0.0278,0.0305,0.0001,-0.08587523521802366
12,2016-02-29,IWM,-0.0022340842308148368,-0.0007000000000000001,0.0087,-0.0060999999999999995,0.0331,0.0194,0.0002,-0.002434084230814837
13,2016-03-31,IWM,0.08013451627659318,0.0695,0.01,0.012199999999999999,0.0068000000000000005,0.0001,0.0002,0.07993451627659318
14,2016-04-30,IWM,0.016722470965912173,0.0091,0.0123,0.0322,-0.0285,0.0177,0.0001,0.016622470965912173
15,2016-05-31,IWM,0.022403794897359885,0.0178,-0.0062,-0.016200000000000003,-0.011000000000000001,-0.0254,0.0001,0.022303794897359886
16,2016-06-30,IWM,-0.00017364461028102074,-0.0003,0.0042,-0.0149,0.014499999999999999,0.019,0.0002,-0.0003736446102810207
17,2016-07-31,IWM,0.058748545794460316,0.0394,0.024700000000000003,-0.0124,0.0131,-0.0116,0.0002,0.05854854579446032
18,2016-08-31,IWM,0.017841425199054406,0.0049,0.0166,0.0317,-0.018500000000000003,-0.0036,0.0002,0.017641425199054407
19,2016-09-30,IWM,0.010738303805442273,0.0027,0.0181,-0.011899999999999999,-0.0218,0.0003,0.0002,0.010538303805442273
20,2016-10-31,IWM,-0.045970765617218357,-0.020099999999999996,-0.04019999999999999,0.041100000000000005,0.009899999999999999,0.0025,0.0002,-0.046170765617218355
21,2016-11-30,IWM,0.11063326659854034,0.048499999999999995,0.0696,0.08289999999999999,-0.0024,0.0371,0.0001,0.11053326659854033
22,2016-12-31,IWM,0.02884425304878846,0.0181,0.0044,0.0347,0.0124,-0.0032,0.0003,0.028544253048788458
23,2017-01-31,IWM,0.0028178739967015254,0.0194,-0.0144,-0.0276,-0.0051,-0.0106,0.0004,0.002417873996701525
24,2017-02-28,IWM,0.019300492117690027,0.0355,-0.023,-0.015,0.0045000000000000005,-0.018000000000000002,0.0004,0.018900492117690026
25,2017-03-31,IWM,0.0002602032170964108,0.0017000000000000001,0.0075,-0.0333,0.0063,-0.0095,0.0003,-3.979678290358916e-05
26,2017-04-30,IWM,0.011492757841787382,0.0108,0.0040999999999999995,-0.020499999999999997,0.0179,-0.016,0.0005,0.010992757841787382
27,2017-05-31,IWM,-0.019703808221263608,0.010700000000000001,-0.029900000000000003,-0.0382,0.009899999999999999,-0.0166,0.0006,-0.020303808221263608
28,2017-06-30,IWM,0.03374444928906595,0.0078000000000000005,0.0252,0.015,-0.0226,0.0004,0.0006,0.033144449289065944
29,2017-07-31,IWM,0.008524298756052096,0.018799999999999997,-0.016399999999999998,-0.0023,-0.0075,-0.0015,0.0007000000000000001,0.007824298756052096
30,2017-08-31,IWM,-0.012578643573959325,0.0018,-0.0183,-0.0213,0.002,-0.023799999999999998,0.0009,-0.013478643573959325
31,2017-09-30,IWM,0.06304091572079673,0.024900000000000002,0.047599999999999996,0.0315,-0.0154,0.0163,0.0009,0.06214091572079673
32,2017-10-31,IWM,0.007288657120420261,0.0225,-0.0191,0.0013,0.0092,-0.031400000000000004,0.0009,0.006388657120420261
33,2017-11-30,IWM,0.029411704505681424,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,0.028611704505681426
34,2017-12-31,IWM,-0.003984827741311592,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,-0.0048848277413115915
35,2018-01-31,IWM,0.025580574139458356,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.024480574139458356
36,2018-02-28,IWM,-0.038436891248995075,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,-0.03953689124899507
37,2018-03-31,IWM,0.012175246536877848,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,0.010975246536877849
38,2018-04-30,IWM,0.009813518264739196,0.0029,0.0089,0.0053,-0.0242,0.0124,0.0014000000000000002,0.008413518264739196
39,2018-05-31,IWM,0.06163571310841043,0.0263,0.0471,-0.031400000000000004,-0.019799999999999998,-0.0149,0.0014000000000000002,0.06023571310841043
40,2018-06-30,IWM,0.006143702464010303,0.0049,0.0077,-0.0233,0.0083,0.002,0.0014000000000000002,0.004743702464010303
41,2018-07-31,IWM,0.0164906936233451,0.032,-0.019299999999999998,0.0049,0.015300000000000001,0.0031,0.0016,0.014890693623345098
42,2018-08-31,IWM,0.043105809590952227,0.0346,0.006500000000000001,-0.0391,-0.0029,-0.025699999999999997,0.0016,0.04150580959095223
43,2018-09-30,IWM,-0.023250043765542627,0.0006,-0.024900000000000002,-0.016200000000000003,0.006500000000000001,0.013600000000000001,0.0015,-0.02475004376554263
