date,IWM,MTUM,QQQ,QUAL,SPY,USMV,VLUE,VTV,VUG
2015-01-31,99.99542236328125,59.21981430053711,92.97296142578125,51.70479202270508,165.17269897460938,32.729366302490234,47.7231559753418,60.949405670166016,15.512678146362305
2015-02-28,105.94155883789062,62.43531036376953,99.68614196777344,54.81536102294922,174.4561767578125,33.92380142211914,50.55078125,64.18378448486328,16.481468200683594
2015-03-31,107.81668853759766,61.77798080444336,97.33457946777344,53.95484161376953,171.7162322998047,33.67001724243164,50.07575988769531,63.33218765258789,15.83381175994873
2015-04-30,105.05126953125,61.1364631652832,99.2056884765625,54.04814529418945,173.40493774414062,33.474151611328125,50.40911102294922,64.14178466796875,16.2788028717041
2015-05-31,107.40059661865234,63.19279861450195,101.436279296875,54.87091064453125,175.63414001464844,33.81690216064453,50.8712272644043,64.89846801757812,16.51946449279785
2015-06-30,108.2414779663086,62.974876403808594,98.91648864746094,53.85780715942383,172.0667266845703,33.062294006347656,50.02975845336914,63.45198440551758,16.247005462646484
2015-07-31,107.04657745361328,65.36376953125,103.42489624023438,55.408775329589844,175.95359802246094,34.390689849853516,50.18967056274414,64.09134674072266,16.778200149536133
2015-08-31,100.29084014892578,61.44105911254883,96.36666870117188,52.40911102294922,165.22918701171875,32.83271789550781,47.28840255737305,60.34634017944336,15.721875190734863
2015-09-30,95.3401870727539,60.28012466430664,94.23957824707031,51.72972106933594,161.01318359375,32.62843704223633,45.932987213134766,58.81515884399414,15.272028923034668
2015-10-31,100.70087432861328,64.69001007080078,104.95454406738281,56.205265045166016,174.7089385986328,34.581687927246094,49.2883415222168,63.313453674316406,16.642536163330078
2015-11-30,103.9836654663086,65.03470611572266,105.59353637695312,56.45340347290039,175.347412109375,34.50752639770508,48.95127487182617,63.65830612182617,16.666898727416992
2015-12-31,98.75286865234375,64.94725036621094,103.90955352783203,55.484046936035156,172.31704711914062,34.68158721923828,48.03578567504883,62.930335998535156,16.26285743713379
2016-01-31,90.28231811523438,62.47482681274414,96.7289810180664,52.92337417602539,163.7379608154297,34.20058822631836,43.86818313598633,59.93514633178711,15.286080360412598
