date,IWM,MTUM,QQQ,QUAL,SPY,USMV,VLUE,VTV,VUG
2015-01-02,102.78697967529297,59.53520202636719,94.66507720947266,52.60922622680664,170.12503051757812,32.91624450683594,49.30662536621094,63.567020416259766,15.731489181518555
2015-01-05,101.41279602050781,58.764198303222656,93.27645111083984,51.81468200683594,167.05259704589844,32.60749435424805,49.30662536621094,62.39360427856445,15.456846237182617
2015-01-06,99.65834045410156,58.264793395996094,92.0257797241211,51.366676330566406,165.47909545898438,32.51809310913086,48.28113555908203,61.84450912475586,15.310471534729004
2015-01-07,100.88560485839844,59.22856903076172,93.21207427978516,51.94991683959961,167.54124450683594,32.932491302490234,48.66569900512695,62.536521911621094,15.502119064331055
2015-01-08,102.59684753417969,60.437679290771484,94.99613189697266,52.92197799682617,170.5142059326172,33.420021057128906,49.65348434448242,63.687374114990234,15.77524471282959
2015-01-09,101.61156463623047,60.12224197387695,94.37081146240234,52.46553421020508,169.1478271484375,33.22500228881836,49.18598175048828,63.108158111572266,15.657550811767578
2015-01-12,101.27450561523438,59.77175521850586,93.38681030273438,52.034446716308594,167.82276916503906,33.078765869140625,48.67323684692383,62.679443359375,15.518718719482422
2015-01-13,101.35231018066406,59.570281982421875,93.35923767089844,51.890750885009766,167.35073852539062,33.04623794555664,48.53750991821289,62.43122482299805,15.505133628845215
2015-01-14,100.94608306884766,59.36875915527344,92.84423065185547,51.687904357910156,166.34042358398438,32.932491302490234,48.15293884277344,62.00998306274414,15.429682731628418
2015-01-15,99.24349212646484,58.974483489990234,91.6395263671875,51.20608139038086,164.81661987304688,32.88373947143555,47.7231559753418,61.56620788574219,15.253124237060547
2015-01-16,100.85968780517578,59.69292449951172,92.71546173095703,51.89920425415039,166.97808837890625,33.24126434326172,48.36408233642578,62.371055603027344,15.440248489379883
2015-01-20,100.43619537353516,60.01711654663086,93.45117950439453,52.13588333129883,167.33412170410156,33.298133850097656,48.205726623535156,62.38608932495117,15.511168479919434
2015-01-21,100.11640167236328,60.25367736816406,93.92938232421875,52.23731231689453,168.17889404296875,33.35503005981445,48.56768035888672,62.71704864501953,15.592659950256348
2015-01-22,102.15605926513672,61.28754425048828,95.66744232177734,53.0741081237793,170.67984008789062,33.8425407409668,48.922061920166016,63.64225387573242,15.835602760314941
2015-01-23,102.08692169189453,61.16488265991211,95.87895965576172,52.955772399902344,169.7440185546875,33.66379165649414,49.08042907714844,63.1157112121582,15.808448791503906
2015-01-26,103.07219696044922,61.2261962890625,95.76861572265625,53.04874801635742,170.14157104492188,33.736907958984375,49.00501251220703,63.2661247253418,15.865785598754883
2015-01-27,102.57955932617188,60.4464225769043,93.28565979003906,52.16122055053711,167.89732360839844,33.4931526184082,48.80143356323242,62.43871307373047,15.674141883850098
2015-01-28,100.85102844238281,59.754276275634766,92.80744934082031,51.670989990234375,165.74412536621094,33.11125946044922,47.80609130859375,61.40071487426758,15.521735191345215
2015-01-29,102.24251556396484,60.32378387451172,93.6994857788086,52.169700622558594,167.2761688232422,33.281890869140625,48.205726623535156,61.979888916015625,15.665084838867188
2015-01-30,99.99542236328125,59.21981430053711,92.97296142578125,51.70479202270508,165.17269897460938,32.729366302490234,47.7231559753418,60.949405670166016,15.512678146362305
2015-02-02,100.91152954101562,59.65788269042969,93.78224182128906,52.169700622558594,167.21824645996094,33.013755798339844,47.5874137878418,61.91972351074219,15.659050941467285
